demon_attack_j0_10, 245.2
demon_attack_j0_1, 261.85
demon_attack_j0_2, 259.45
demon_attack_j0_3, 349.45
demon_attack_j0_4, 316.95
demon_attack_j0_5, 274.9
demon_attack_j0_6, 307.5
demon_attack_j0_7, 236.4
demon_attack_j0_8, 348.0
demon_attack_j0_9, 358.35
demon_attack_j1_10, 313.1
demon_attack_j1_1, 415.1
demon_attack_j1_2, 398.9
demon_attack_j1_3, 328.4
demon_attack_j1_4, 426.4
demon_attack_j1_5, 342.2
demon_attack_j1_6, 342.7
demon_attack_j1_7, 330.3
demon_attack_j1_8, 443.7
demon_attack_j1_9, 357.05
demon_attack_j2_10, 374.5
demon_attack_j2_1, 443.45
demon_attack_j2_2, 362.95
demon_attack_j2_3, 343.4
demon_attack_j2_4, 293.7
demon_attack_j2_5, 298.35
demon_attack_j2_6, 332.45
demon_attack_j2_7, 286.4
demon_attack_j2_8, 480.2
demon_attack_j2_9, 303.75
demon_attack_j3_10, 533.05
demon_attack_j3_1, 556.45
demon_attack_j3_2, 409.65
demon_attack_j3_3, 492.45
demon_attack_j3_4, 412.25
demon_attack_j3_5, 543.05
demon_attack_j3_6, 313.65
demon_attack_j3_7, 414.15
demon_attack_j3_8, 505.6
demon_attack_j3_9, 596.1
demon_attack_j4_10, 369.9
demon_attack_j4_1, 395.05
demon_attack_j4_2, 431.25
demon_attack_j4_3, 393.1
demon_attack_j4_4, 275.4
demon_attack_j4_5, 315.85
demon_attack_j4_6, 273.7
demon_attack_j4_7, 470.7
demon_attack_j4_8, 263.45
demon_attack_j4_9, 344.2
demon_attack_j5_10, 571.55
demon_attack_j5_1, 485.65
demon_attack_j5_2, 336.35
demon_attack_j5_3, |
demon_attack_j5_4, |
demon_attack_j5_5, 585.65
demon_attack_j5_6, |
demon_attack_j5_7, 673.7
demon_attack_j5_8, 493.7
demon_attack_j5_9, |
